eval_session,class_id,class_name,intro_session,query_count,accuracy
6,2,baby,0,100,74.0
6,3,bear,0,100,95.0
6,4,beaver,0,100,81.0
6,5,bed,0,100,96.0
6,6,bee,0,100,89.0
6,7,beetle,0,100,80.0
6,8,bicycle,0,100,96.0
6,9,bottle,0,100,97.0
6,10,bowl,0,100,71.0
6,11,boy,0,100,79.0
6,12,bridge,0,100,88.0
6,13,bus,0,100,88.0
6,14,butterfly,0,100,87.0
6,15,camel,0,100,96.0
6,16,can,0,100,90.0
6,17,castle,0,100,90.0
6,18,caterpillar,0,100,84.0
6,19,cattle,0,100,94.0
6,20,chair,0,100,93.0
6,21,chimpanzee,0,100,100.0
6,22,clock,0,100,94.0
6,23,cloud,0,100,86.0
6,24,cockroach,0,100,94.0
6,25,couch,0,100,81.0
6,26,crab,0,100,85.0
6,27,crocodile,0,100,80.0
6,28,cup,0,100,90.0
6,29,dinosaur,0,100,93.0
6,30,dolphin,0,100,94.0
6,31,elephant,0,100,97.0
6,32,flatfish,0,100,88.0
6,33,forest,0,100,75.0
6,34,fox,0,100,92.0
6,35,girl,0,100,77.0
6,36,hamster,0,100,94.0
6,37,house,0,100,93.0
6,38,kangaroo,0,100,95.0
6,39,keyboard,0,100,97.0
6,40,lamp,0,100,79.0
6,41,lawn mower,0,100,98.0
6,42,leopard,0,100,89.0
6,43,lion,0,100,95.0
6,44,lizard,0,100,88.0
6,45,lobster,0,100,69.0
6,46,man,0,100,78.0
6,47,maple tree,0,100,55.0
6,48,motorcycle,0,100,97.0
6,49,mountain,0,100,93.0
6,50,mouse,0,100,94.0
6,51,mushroom,0,100,95.0
6,52,oak tree,0,100,82.0
6,53,orange,0,100,100.0
6,54,orchid,0,100,92.0
6,55,otter,0,100,80.0
6,56,palm tree,0,100,96.0
6,57,pear,0,100,90.0
6,58,pickup truck,0,100,99.0
6,59,pine tree,0,100,77.0
6,60,plain,1,100,57.0
6,61,plate,1,100,71.0
6,62,poppy,1,100,93.0
6,63,porcupine,1,100,52.0
6,64,possum,1,100,64.0
6,65,rabbit,2,100,83.0
6,66,raccoon,2,100,86.0
6,67,ray,2,100,65.0
6,68,road,2,100,88.0
6,69,rocket,2,100,83.0
6,70,rose,3,100,94.0
6,71,sea,3,100,80.0
6,72,seal,3,100,51.0
